coordenacao;departamento;grau_academico;grau_academico_2;link_detalhes;modalidade;nome;sede;sigla_departamento;turno
VANESSA CABRAL GOMES;ADM - DEPTO ADMINISTRAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414112&lc=pt_BR&nivel=G;Presencial;ADMINISTRAÇÃO;BRASÍLIA;ADM;DIURNO
OLINDA MARIA GOMES LESSES;ADM - DEPTO ADMINISTRAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414099&lc=pt_BR&nivel=G;Presencial;ADMINISTRAÇÃO;BRASÍLIA;ADM;NOTURNO
FRANCISCA APARECIDA DE SOUZA;CCA - DEPTO CIÊNCIAS CONTÁBEIS ATUARIAIS;Bacharelado;Bacharelado;portal.jsf?id=414130&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS CONTÁBEIS;BRASÍLIA;CCA;DIURNO
EDMILSON SOARES CAMPOS;CCA - DEPTO CIÊNCIAS CONTÁBEIS ATUARIAIS;Bacharelado;Bacharelado;portal.jsf?id=414131&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS CONTÁBEIS;BRASÍLIA;CCA;NOTURNO
LUCIANA DA COSTA DIAS;CEN - DEPTO ARTES CÊNICAS;Licenciatura;Licenciatura;portal.jsf?id=414437&lc=pt_BR&nivel=G;Presencial;ARTES CÊNICAS;BRASÍLIA;CEN;DIURNO
JOSE JACKSON SILVA;CEN - DEPTO ARTES CÊNICAS;Licenciatura;Licenciatura;portal.jsf?id=702696&lc=pt_BR&nivel=G;Presencial;ARTES CÊNICAS;BRASÍLIA;CEN;NOTURNO
ALISSON ARAUJO DE ALMEIDA;CEN - DEPTO ARTES CÊNICAS;Bacharelado;Bacharelado;portal.jsf?id=414436&lc=pt_BR&nivel=G;Presencial;ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;BRASÍLIA;CEN;DIURNO
ANA ROSA DOMINGUES DOS SANTOS;CET - CENTRO DE EXCELÊNCIA EM TURISMO;Bacharelado;Bacharelado;portal.jsf?id=414088&lc=pt_BR&nivel=G;Presencial;TURISMO;BRASÍLIA;CET;DIURNO
MARCELO GRANDI MANDELLI;CIC - DEPTO CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414599&lc=pt_BR&nivel=G;Presencial;CIÊNCIA DA COMPUTAÇÃO;BRASÍLIA;CIC;DIURNO
JORGE HENRIQUE CABRAL FERNANDES;CIC - DEPTO CIÊNCIAS DA COMPUTAÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414608&lc=pt_BR&nivel=G;Presencial;COMPUTAÇÃO;BRASÍLIA;CIC;NOTURNO
GUILHERME NOVAES RAMOS;CIC - DEPTO CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414610&lc=pt_BR&nivel=G;Presencial;ENGENHARIA DE COMPUTAÇÃO;BRASÍLIA;CIC;DIURNO
JOAO MIGUEL MANZOLILLO SAUTCHUK;DAN - DEPTO ANTROPOLOGIA;Bacharelado;Bacharelado;portal.jsf?id=414407&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS SOCIAIS - ANTROPOLOGIA;BRASÍLIA;DAN;DIURNO
;DIN - DEPARTAMENTO DE DESIGN (11.01.01.14.04);Bacharelado;Bacharelado;portal.jsf?id=414966&lc=pt_BR&nivel=G;Presencial;DESENHO INDUSTRIAL - PROGRAMAÇÃO VISUAL;BRASÍLIA;DIN;DIURNO
MARISA COBBE MAASS;DIN - DEPARTAMENTO DE DESIGN (11.01.01.14.04);Bacharelado;Bacharelado;portal.jsf?id=414970&lc=pt_BR&nivel=G;Presencial;DESIGN - PROGRAMAÇÃO VISUAL;BRASÍLIA;DIN;DIURNO
FLAVIA MARIETA MAGALHAES RIGONI;DIN - DEPARTAMENTO DE DESIGN (11.01.01.14.04);Bacharelado;Bacharelado;portal.jsf?id=414971&lc=pt_BR&nivel=G;Presencial;DESIGN - PROJETO DO PRODUTO;BRASÍLIA;DIN;DIURNO
ROSAMARIA GIATTI CARNEIRO;DSC - DEPTO SAUDE COLETIVA;Bacharelado;Bacharelado;portal.jsf?id=414291&lc=pt_BR&nivel=G;Presencial;SAÚDE COLETIVA;BRASÍLIA;DSC;NOTURNO
DEBORAH OLIVEIRA MARTINS DOS REIS;ECO - DEPTO ECONOMIA;Bacharelado;Bacharelado;portal.jsf?id=414699&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS ECONÔMICAS;BRASÍLIA;ECO;DIURNO
MAURO ELOI NAPPO;EFL - DEPTO ENGENHARIA FLORESTAL;Engenheiro Florestal;Engenheiro Florestal;portal.jsf?id=414342&lc=pt_BR&nivel=G;Presencial;ENGENHARIA FLORESTAL;BRASÍLIA;EFL;DIURNO
;ELA - DEPARTAMENTO DE ESTUDOS LATINO AMERICANO;Bacharelado;Bacharelado;portal.jsf?id=414404&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS SOCIAIS;BRASÍLIA;ELA;DIURNO
FRANCISCO JAVIER CONTRERAS PINEDA;ENC - DEPTO ENGENHARIA CIVIL E AMBIENTAL;Engenheiro;Engenheiro;portal.jsf?id=414345&lc=pt_BR&nivel=G;Presencial;ENGENHARIA AMBIENTAL;BRASÍLIA;ENC;DIURNO
FABIO ZANCHETTA;ENC - DEPTO ENGENHARIA CIVIL E AMBIENTAL;Engenheiro Civil;Engenheiro Civil;portal.jsf?id=414350&lc=pt_BR&nivel=G;Presencial;ENGENHARIA CIVIL;BRASÍLIA;ENC;DIURNO
JOAO JOSE COSTA GONDIM;ENE - DEPTO ENGENHARIA ELETRICA;Bacharelado;Bacharelado;portal.jsf?id=414330&lc=pt_BR&nivel=G;Presencial;ENGENHARIA DE REDES DE COMUNICAÇÃO;BRASÍLIA;ENE;DIURNO
DANIEL ORQUIZA DE CARVALHO;ENE - DEPTO ENGENHARIA ELETRICA;Engenheiro Eletricista;Engenheiro Eletricista;portal.jsf?id=414360&lc=pt_BR&nivel=G;Presencial;ENGENHARIA ELÉTRICA;BRASÍLIA;ENE;DIURNO
THATIANNY TANFERRI DE BRITO PARANAGUA;ENF - DEPTO ENFERMAGEM;Enfermeiro;Enfermeiro;portal.jsf?id=414295&lc=pt_BR&nivel=G;Presencial;ENFERMAGEM;BRASÍLIA;ENF;DIURNO
ANDRE VON BORRIES LOPES;ENM - DEPARTAMENTO DE ENGENHARIA MECANICA;Engenheiro Mecânico;Engenheiro Mecânico;portal.jsf?id=414368&lc=pt_BR&nivel=G;Presencial;ENGENHARIA MECÂNICA;BRASÍLIA;ENM;DIURNO
MARCELO CARNEIRO GONCALVES;EPR - DEPTO ENGENHARIA DE PRODUCAO;Bacharelado;Bacharelado;portal.jsf?id=414326&lc=pt_BR&nivel=G;Presencial;ENGENHARIA DE PRODUÇÃO;BRASÍLIA;EPR;NOTURNO
LEANDRO TAVARES CORREIA;EST - DEPTO ESTATÍSTICA;Bacharelado;Bacharelado;portal.jsf?id=414620&lc=pt_BR&nivel=G;Presencial;ESTATÍSTICA;BRASÍLIA;EST;DIURNO
MARLISE VIEGAS BRENOL;FAC/COM - DEPARTAMENTO DE COMUNICAÇÃO ORGANIZACIONAL/COM;Bacharelado;Bacharelado;portal.jsf?id=414137&lc=pt_BR&nivel=G;Presencial;COMUNICAÇÃO SOCIAL - COMUNICAÇÃO ORGANIZACIONAL;BRASÍLIA;FAC/COM;NOTURNO
DENISE MORAES CAVALCANTE;FAC/DAP - DEPARTAMENTO DE AUDIOVISUAIS E PUBLICIDADE/DAP;Bacharelado;Bacharelado;portal.jsf?id=414151&lc=pt_BR&nivel=G;Presencial;COMUNICAÇÃO SOCIAL - AUDIOVISUAL;BRASÍLIA;FAC/DAP;DIURNO
LUCIANO MENDES DE SOUZA;FAC/DAP - DEPARTAMENTO DE AUDIOVISUAIS E PUBLICIDADE/DAP;Bacharelado;Bacharelado;portal.jsf?id=414156&lc=pt_BR&nivel=G;Presencial;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;BRASÍLIA;FAC/DAP;DIURNO
;FAC/JOR - DEPARTAMENTO DE JORNALISMO/JOR;Bacharelado;Bacharelado;portal.jsf?id=414164&lc=pt_BR&nivel=G;Presencial;COMUNICAÇÃO SOCIAL - JORNALISMO;BRASÍLIA;FAC/JOR;DIURNO
MARIA LETICIA RENAULT CARNEIRO DE ABREU E SOUZA;FAC/JOR - DEPARTAMENTO DE JORNALISMO/JOR;Bacharelado;Bacharelado;portal.jsf?id=414165&lc=pt_BR&nivel=G;Presencial;JORNALISMO;BRASÍLIA;FAC/JOR;DIURNO
ANA CAROLINA CORDEIRO CORREIA LIMA;FAU - FACULDADE DE ARQUITETURA E URBANISMO;Arquiteto e Urbanista;Arquiteto e Urbanista;portal.jsf?id=414181&lc=pt_BR&nivel=G;Presencial;ARQUITETURA E URBANISMO;BRASÍLIA;FAU;NOTURNO
VANIA RAQUEL TELES LOUREIRO;FAU - FACULDADE DE ARQUITETURA E URBANISMO;Arquiteto e Urbanista;Arquiteto e Urbanista;portal.jsf?id=414180&lc=pt_BR&nivel=G;Presencial;ARQUITETURA E URBANISMO;BRASÍLIA;FAU;DIURNO
MARCELO FAGIOLI;FAV - FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA;Engenheiro Agrônomo;Engenheiro Agrônomo;portal.jsf?id=414196&lc=pt_BR&nivel=G;Presencial;AGRONOMIA;BRASÍLIA;FAV;DIURNO
JAIM JOSE DA SILVA JUNIOR;FAV - FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA;Bacharelado;Bacharelado;portal.jsf?id=414198&lc=pt_BR&nivel=G;Presencial;GESTÃO DE AGRONEGÓCIOS;BRASÍLIA;FAV;NOTURNO
CRISTIANE DA SILVA PEREIRA;FAV - FACULDADE DE AGRONOMIA E MEDICINA VETERINÁRIA;Médico Veterinário;Médico Veterinário;portal.jsf?id=414202&lc=pt_BR&nivel=G;Presencial;MEDICINA VETERINÁRIA;BRASÍLIA;FAV;DIURNO
PAULO JOSE VIANA DE ALENCAR;FCI - FACULDADE DE CIÊNCIA DA INFORMAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414931&lc=pt_BR&nivel=G;Presencial;ARQUIVOLOGIA;BRASÍLIA;FCI;NOTURNO
RODRIGO RABELLO DA SILVA;FCI - FACULDADE DE CIÊNCIA DA INFORMAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414940&lc=pt_BR&nivel=G;Presencial;BIBLIOTECONOMIA;BRASÍLIA;FCI;DIURNO
MARIJARA SOUZA QUEIROZ;FCI - FACULDADE DE CIÊNCIA DA INFORMAÇÃO;Bacharelado;Bacharelado;portal.jsf?id=702704&lc=pt_BR&nivel=G;Presencial;MUSEOLOGIA;BRASÍLIA;FCI;DIURNO
RODRIGO FONSECA LIMA;FCS - FACULDADE DE CIÊNCIAS DA SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414287&lc=pt_BR&nivel=G;Presencial;FARMÁCIA;BRASÍLIA;FCS;NOTURNO
GERLON DE ALMEIDA RIBEIRO OLIVEIRA;FCS - FACULDADE DE CIÊNCIAS DA SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414286&lc=pt_BR&nivel=G;Presencial;FARMÁCIA;BRASÍLIA;FCS;DIURNO
MATHEUS BERNARDINI DE SOUZA;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414915&lc=pt_BR&nivel=G;Presencial;ENGENHARIA;BRASÍLIA;FCTE;DIURNO
ARTUR ELIAS DE MORAIS BERTOLDI;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414916&lc=pt_BR&nivel=G;Presencial;ENGENHARIA AEROESPACIAL;BRASÍLIA;FCTE;DIURNO
HIMILSYS HERNANDEZ GONZALEZ;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414919&lc=pt_BR&nivel=G;Presencial;ENGENHARIA AUTOMOTIVA;BRASÍLIA;FCTE;DIURNO
ANDREIA ALVES COSTA LINDINGER;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414922&lc=pt_BR&nivel=G;Presencial;ENGENHARIA DE ENERGIA;BRASÍLIA;FCTE;DIURNO
JOHN LENON CARDOSO GARDENGHI;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414924&lc=pt_BR&nivel=G;Presencial;ENGENHARIA DE SOFTWARE;BRASÍLIA;FCTE;DIURNO
DANIEL COSTA ARAUJO;FCTE - CAMPUS UNB GAMA: FACULDADE DE CIÊNCIAS E TECNOLOGIAS EM ENGENHARIA;Bacharelado;Bacharelado;portal.jsf?id=414926&lc=pt_BR&nivel=G;Presencial;ENGENHARIA ELETRÔNICA;BRASÍLIA;FCTE;DIURNO
JULIANA MACHADO SCHARDOSIM;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Enfermeiro;Enfermeiro;portal.jsf?id=414902&lc=pt_BR&nivel=G;Presencial;ENFERMAGEM;BRASÍLIA;FCTS;DIURNO
ELIANA FORTES GRIS;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414906&lc=pt_BR&nivel=G;Presencial;FARMÁCIA;BRASÍLIA;FCTS;DIURNO
JULIANA DE FARIA FRACON E ROMAO;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414908&lc=pt_BR&nivel=G;Presencial;FISIOTERAPIA;BRASÍLIA;FCTS;DIURNO
ISABELLA MONTEIRO DE CASTRO SILVA;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414909&lc=pt_BR&nivel=G;Presencial;FONOAUDIOLOGIA;BRASÍLIA;FCTS;DIURNO
JOSE ANTONIO ITURRI DE LA MATA;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414912&lc=pt_BR&nivel=G;Presencial;SAÚDE COLETIVA;BRASÍLIA;FCTS;DIURNO
JULIANA VALERIA DE MELO;FCTS - CAMPUS UNB CEILÂNDIA: FACULDADE DE CIENCIAS E TECNOLOGIAS EM SAÚDE;Bacharelado;Bacharelado;portal.jsf?id=414914&lc=pt_BR&nivel=G;Presencial;TERAPIA OCUPACIONAL;BRASÍLIA;FCTS;DIURNO
LIVIA GIMENES DIAS DA FONSECA;FDD - FACULDADE DE DIREITO;Bacharelado;Bacharelado;portal.jsf?id=414220&lc=pt_BR&nivel=G;Presencial;DIREITO;BRASÍLIA;FDD;DIURNO
MIKHAIL VIEIRA DE LORENZI CANCELIER;FDD - FACULDADE DE DIREITO;Bacharelado;Bacharelado;portal.jsf?id=414221&lc=pt_BR&nivel=G;Presencial;DIREITO;BRASÍLIA;FDD;NOTURNO
RAQUEL DE ALMEIDA MORAES;FED - FACULDADE DE EDUCAÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414231&lc=pt_BR&nivel=G;A Distância;PEDAGOGIA;BRASÍLIA;FED;DIURNO
PAULO HENRIQUE PEREIRA SILVA DE FELIPE;FED - FACULDADE DE EDUCAÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414230&lc=pt_BR&nivel=G;Presencial;PEDAGOGIA;BRASÍLIA;FED;NOTURNO
SILMARA CARINA DORNELAS MUNHOZ;FED - FACULDADE DE EDUCAÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414229&lc=pt_BR&nivel=G;Presencial;PEDAGOGIA;BRASÍLIA;FED;DIURNO
;FEF - FACULDADE DE EDUCAÇÃO FÍSICA;Licenciatura;Licenciatura;portal.jsf?id=414275&lc=pt_BR&nivel=G;A Distância;EDUCAÇÃO FÍSICA;BRASÍLIA;FEF;DIURNO
ROSANA AMARO;FEF - FACULDADE DE EDUCAÇÃO FÍSICA;Licenciatura;Licenciatura;portal.jsf?id=414274&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO FÍSICA;BRASÍLIA;FEF;DIURNO
ROMULO MAIA CARLOS FONSECA;FEF - FACULDADE DE EDUCAÇÃO FÍSICA;Bacharelado;Bacharelado;portal.jsf?id=414276&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO FÍSICA;BRASÍLIA;FEF;DIURNO
ROMULO MAIA CARLOS FONSECA;FEF - FACULDADE DE EDUCAÇÃO FÍSICA;Bacharelado;Bacharelado;portal.jsf?id=15958221&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO FÍSICA - CICLO BÁSICO;BRASÍLIA;FEF;DIURNO
ALFREDO ROQUE DE OLIVEIRA FREIRE FILHO;FIL - DEPTO FILOSOFIA;Licenciatura;Licenciatura;portal.jsf?id=414714&lc=pt_BR&nivel=G;Presencial;FILOSOFIA;BRASÍLIA;FIL;DIURNO
ROGERIO ALESSANDRO DE MELLO BASALI;FIL - DEPTO FILOSOFIA;Bacharelado;Bacharelado;portal.jsf?id=414713&lc=pt_BR&nivel=G;Presencial;FILOSOFIA;BRASÍLIA;FIL;DIURNO
PHILIPPE CLAUDE THIERRY LACOUR;FIL - DEPTO FILOSOFIA;Licenciatura;Licenciatura;portal.jsf?id=414715&lc=pt_BR&nivel=G;Presencial;FILOSOFIA;BRASÍLIA;FIL;NOTURNO
GERALDO MAGELA FERNANDES;FMD - FACULDADE DE MEDICINA;Médico;Médico;portal.jsf?id=414280&lc=pt_BR&nivel=G;Presencial;MEDICINA;BRASÍLIA;FMD;DIURNO
MARCUS VINICIUS LAMAR;FTD - FACULDADE DE TECNOLOGIA;Engenheiro de Controle e Automação;Engenheiro de Controle e Automação;portal.jsf?id=414333&lc=pt_BR&nivel=G;Presencial;ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO;BRASÍLIA;FTD;DIURNO
ISMAEL VICTOR DE LUCENA COSTA;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=702703&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS NATURAIS;BRASÍLIA;FUP;NOTURNO
FRANCO DE SALLES PORTO;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=702702&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS NATURAIS;BRASÍLIA;FUP;DIURNO
CYNARA CAROLINE KERN BARRETO;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=414881&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA;BRASÍLIA;FUP;DIURNO
;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=414882&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA E MATEMÁTICA;BRASÍLIA;FUP;DIURNO
CYNARA CAROLINE KERN BARRETO;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=414885&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO DO CAMPO - LINGUAGENS, ARTES E LITERATURA;BRASÍLIA;FUP;DIURNO
CYNARA CAROLINE KERN BARRETO;FUP - FACULDADE DE PLANALTINA;Licenciatura;Licenciatura;portal.jsf?id=414886&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO DO CAMPO - MATEMÁTICA;BRASÍLIA;FUP;DIURNO
TANIA CRISTINA DA SILVA CRUZ;FUP - FACULDADE DE PLANALTINA;Bacharelado;Bacharelado;portal.jsf?id=414888&lc=pt_BR&nivel=G;Presencial;GESTÃO AMBIENTAL;BRASÍLIA;FUP;NOTURNO
